snapped_at,price,market_cap,total_volume
2021-01-25 00:00:00 UTC,1.001229021359727,30657288.344538003,89474.78202275495
2021-01-26 00:00:00 UTC,0.9969239577337758,30645347.3664259,120650.99200263488
2021-01-27 00:00:00 UTC,1.004316587307609,30792830.401486453,137691.19632175265
2021-01-28 00:00:00 UTC,0.9989887930587412,30799280.64852592,206201.64655702998
2021-01-29 00:00:00 UTC,0.9947253737210654,31567419.16114113,186516.70353035326
2021-01-30 00:00:00 UTC,0.9981797130907999,31949513.85356627,896589.4797945598
2021-01-31 00:00:00 UTC,0.9909146688982378,32630692.31508557,104332.0885687705
2021-02-01 00:00:00 UTC,1.0052883555143624,33077385.470825914,83125.72415831307
2021-02-02 00:00:00 UTC,0.9921744378189149,32746077.377315663,112896.93858277603
2021-02-03 00:00:00 UTC,1.0000312568167466,32983298.39608747,117224.0024481622
2021-02-04 00:00:00 UTC,1.0004370615329097,33113896.841832828,129426.35817292515
2021-02-05 00:00:00 UTC,0.9833186714517935,32689138.285472378,219415.3455662918
2021-02-06 00:00:00 UTC,1.0050826411533047,33244362.365227528,112140.91173305674
2021-02-07 00:00:00 UTC,1.0002048717027054,33002242.84471713,179811.93403488517
2021-02-08 00:00:00 UTC,1.013286989067704,32975563.566901065,334792.3255399773
2021-02-09 00:00:00 UTC,1.0002872852513378,33246355.830218885,443251.6831702627
2021-02-10 00:00:00 UTC,0.9999594496782788,33161493.453071542,141035.22571321312
2021-02-11 00:00:00 UTC,0.9880051415537774,32840586.785296645,251429.74447466398
2021-02-12 00:00:00 UTC,1.003490754632612,33844959.418914184,106944.52997906493
2021-02-13 00:00:00 UTC,0.993967001884031,34491544.14692521,118661.125288035
2021-02-14 00:00:00 UTC,0.9947760823000197,36071804.327899665,97483.24227448736
2021-02-15 00:00:00 UTC,0.9909325837604211,35736654.5635132,190921.7853931633
2021-02-16 00:00:00 UTC,0.9975426985715911,35983336.69913551,92497.4476697487
2021-02-17 00:00:00 UTC,1.0110107871703902,36452734.78260302,163743.25766826558
2021-02-18 00:00:00 UTC,1.001456031199778,36221602.21483704,301377.1048025557
2021-02-19 00:00:00 UTC,0.9977968186808357,37340249.76734571,333197.0759386108
2021-02-20 00:00:00 UTC,1.0017355594546755,38113715.681776375,368446.41217589437
2021-02-21 00:00:00 UTC,1.0036352049065866,39679914.907009736,368213.667279628
2021-02-22 00:00:00 UTC,1.0034332047784884,40236366.69333569,140440.64854835704
2021-02-23 00:00:00 UTC,1.0035487205354359,40123732.40690912,332548.4809301913
2021-02-24 00:00:00 UTC,1.0130745997251236,40253858.927954316,751397.5543766599
2021-02-25 00:00:00 UTC,1.0029021045672457,40244099.90415432,223747.99382919236
2021-02-26 00:00:00 UTC,1.0030944394186556,40277174.84095893,2106643.2398392158
2021-02-27 00:00:00 UTC,1.0039933438034607,40336462.93622153,2635897.6934406683
2021-02-28 00:00:00 UTC,1.0074477389655225,40122290.251497686,557096.7107111542
2021-03-01 00:00:00 UTC,0.9951645753287798,40146034.69735136,524298.0899446306
2021-03-02 00:00:00 UTC,1.0028054468231764,40377859.6460052,625248.8815400583
2021-03-03 00:00:00 UTC,1.0076532931989226,41172125.90935711,420257.7779290738
2021-03-04 00:00:00 UTC,0.9996253588830376,40809356.41487357,531899.2105860007
2021-03-05 00:00:00 UTC,1.0021781780891725,40899662.13079721,376360.51832976885
2021-03-06 00:00:00 UTC,1.0037339561671181,40852455.21534114,559849.9716906331
2021-03-07 00:00:00 UTC,1.0076807890376993,41038816.06021824,372521.6069950922
2021-03-08 00:00:00 UTC,1.000631447124203,40832182.13265624,439853.19405889686
2021-03-09 00:00:00 UTC,1.0012636272471218,40797918.85377177,992321.2065429945
2021-03-10 00:00:00 UTC,1.001579992405105,41654672.30395039,185135.04419008212
2021-03-11 00:00:00 UTC,1.0021446211717666,41554593.30427057,50358.881207991835
2021-03-12 00:00:00 UTC,0.9969490810362149,41417708.365814246,70336.29575256581
2021-03-13 00:00:00 UTC,1.0014514654847935,41637753.317281395,128125.93359737788
2021-03-14 00:00:00 UTC,1.0017958401923583,42028117.65106358,467991.1300905955
2021-03-15 00:00:00 UTC,1.0018573931815677,41671140.838057466,512995.21772803925
2021-03-16 00:00:00 UTC,0.9990956112248857,41786639.30894749,589327.3898122152
2021-03-17 00:00:00 UTC,1.0001734978849188,41897901.704957016,691897.8951381234
2021-03-18 00:00:00 UTC,1.0052353977277204,42039145.763848424,389669.51646982855
2021-03-19 00:00:00 UTC,1.0043242372622216,42393984.25989057,248873.9579313987
2021-03-20 00:00:00 UTC,0.9963862203094194,42299117.726035796,216716.22265108133
2021-03-21 00:00:00 UTC,0.9996262232096732,42333676.76170664,282275.7137194364
2021-03-22 00:00:00 UTC,0.9997905025407365,42290377.3619612,59829.33233335682
2021-03-23 00:00:00 UTC,1.0011153356548244,42322550.917940244,574217.3718909939
2021-03-24 00:00:00 UTC,0.9980912901015905,42587421.963030405,465311.4765734747
2021-03-25 00:00:00 UTC,0.9977209941904428,42584387.13232125,462517.1539061324
2021-03-26 00:00:00 UTC,0.9957590512407064,42456655.38618676,738283.19805775
2021-03-27 00:00:00 UTC,0.998558574804301,42609459.704216816,312495.4071766976
2021-03-28 00:00:00 UTC,0.9988096452966696,42659635.45222722,751133.2874615615
2021-03-29 00:00:00 UTC,1.0010361208861898,42763853.174887635,778438.4424249654
2021-03-30 00:00:00 UTC,1.0023494631514125,42809181.21797269,1077973.3220434897
2021-03-31 00:00:00 UTC,1.000002962139017,43295969.18178898,1769785.727272645
2021-04-01 00:00:00 UTC,1.000530770099969,43352397.423088014,1351914.1925417234
2021-04-02 00:00:00 UTC,0.9995496400267666,43325736.7992184,1198243.0134732712
2021-04-03 00:00:00 UTC,0.9987234394505917,43306930.3429756,465544.4212474695
2021-04-04 00:00:00 UTC,1.0002574448418837,43307609.00138783,392891.89727866603
2021-04-05 00:00:00 UTC,1.0016113917610572,43396608.125995554,518315.6190777943
2021-04-06 00:00:00 UTC,1.000963019369335,43401535.580104664,372479.1099192433
2021-04-07 00:00:00 UTC,1.0012971833385158,43420469.93517931,1447475.5161836408
2021-04-08 00:00:00 UTC,0.9995709143093496,43447341.3917854,483111.0650086804
2021-04-09 00:00:00 UTC,1.0032328320094488,43498228.127988085,1699654.3561129489
2021-04-10 00:00:00 UTC,0.9985817952263072,43785141.37903045,749589.5046436456
2021-04-11 00:00:00 UTC,1.0002462104152392,44043483.681019686,2045169.3264445658
2021-04-12 00:00:00 UTC,1.0027135975270578,43938911.86137391,1648546.361835364
